Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
BHP Impex Canada,Canada,Moruya,New South Wales,"3260 Princes Hwy, Moruya NSW 2537, Australia",https://bhpimpex.ca/,https://bhpimpex.ca;https://bhpimpex.ca/,,,,
Abideen And Company,Pakistan,Toronto,Ontario,"720 Kennedy Rd, Scarborough, ON M1K 2B7, Canada",https://abideenfishmeal.com/en/index.html,,,,,
Australian Fishmeal Company,Australia,Karachi,,"14-B / 16-A, Deh Ibrahim Hyderi, Korangi Creek, Karachi, Pakistan",https://fishmeal.co/,https://fishmeal.co/id/home-bahasa-indonesia,https://fishmeal.co/es/home-espanol,https://fishmeal.co/es/2024/11/22/harina-de-pescado-en-la-industria-de-la-acuicultura;https://fishmeal.co/es/home-espanol;https://fishmeal.co/id/2024/11/22/tepung-ikan-dalam-industri-akuakultur;https://fishmeal.co/id/2024/11/22/tepung-ikan-dalam-industri-pupuk;https://fishmeal.co/id/home-bahasa-indonesia,,
NuBlend Pty Ltd,Australia,,,Independencia y Nahuel Ruca - Vivorata - Buenos Aires,https://www.nublend.com.au/index.php/products,,,,,
Comeau,Canada,Melbourne,Victoria,"Suite 503/227 Collins St, Melbourne VIC 3000, Australia",https://www.comeausea.com/facilities,https://www.comeausea.com/_files/ugd/5f4e3f_cc4a96c975304ae695ed844852eb42a1.pdf,https://www.comeausea.com/_files/ugd/5f4e3f_7f882c897da74afd8cd11a7ca596571a.pdf,,,
Africa Feed Suarl,Senegal,Triabunna,Tasmania,"78 Freestone Point Rd, Triabunna TAS 7190, Australia
",https://ditp.sec.gouv.sn/sites/default/files/docs/Liste%20des%20%C3%A9tablissements%20agr%C3%A9%C3%A9s%20%C3%A0%20l%27exportation%20au%2031%20d%C3%A9cembre%202022%20.pdf,,,,,
CSF Proteins Pty Ltd,Australia,Deyang,Sichuan,"No. 37, Section 6, North Chengdu Avenue, Guanghan City, Deyang, Sichuan Province, P.R. China.",https://www.csfproteins.com.au,,,,,
"Fujian Evergreen Feed Co., Ltd.",China,Saulnierville,Nova Scotia,"60 Saulnierville Rd, Saulnierville, NS B0W 2Z0, Canada",http://www.gdhxgf.com/en/gsjj_en.html,,,,,
"Novosana(Taicang) Bio Feed Co., Ltd",China,Dakar,CAT3 - Category 3,"MRWV+J5V, Yenne Tode, Senegal",https://novosana.nl/,,https://novosana.nl/contact-us;https://novosana.nl/omega-3-science,https://novosana.nl/about-novosana,,
Exportadora PMT,Costa Rica,Laverton North,Victoria,"1 Merino St, Laverton North VIC 3026, Australia",https://pmtcr.com/english/oil.htm,,,,,
