Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
Proteins Australia Pty Ltd,Australia,Moruya,New South Wales,"3260 Princes Hwy, Moruya NSW 2537, Australia",https://bhpimpex.ca/,https://bhpimpex.ca;https://bhpimpex.ca/,,,,
BHP Impex Canada,Canada,Moruya,New South Wales,"3260 Princes Hwy, Moruya NSW 2537, Australia",https://bhpimpex.ca/,,,,,
Abideen And Company,Pakistan,Toronto,Ontario,"720 Kennedy Rd, Scarborough, ON M1K 2B7, Canada",https://abideenfishmeal.com/en/index.html,https://fishmeal.co/id/home-bahasa-indonesia,https://fishmeal.co/es/home-espanol,https://fishmeal.co/es/2024/11/22/harina-de-pescado-en-la-industria-de-la-acuicultura;https://fishmeal.co/es/home-espanol;https://fishmeal.co/id/2024/11/22/tepung-ikan-dalam-industri-akuakultur;https://fishmeal.co/id/2024/11/22/tepung-ikan-dalam-industri-pupuk;https://fishmeal.co/id/home-bahasa-indonesia,,
Mundo Branco S. A.,Argentina,,,Independencia y Nahuel Ruca - Vivorata - Buenos Aires,https://www.nublend.com.au/index.php/products,,,,,
Australian Fishmeal Company,Australia,Karachi,Victoria,"14-B / 16-A, Deh Ibrahim Hyderi, Korangi Creek, Karachi, Pakistan",https://fishmeal.co/,https://www.comeausea.com/_files/ugd/5f4e3f_cc4a96c975304ae695ed844852eb42a1.pdf,https://www.comeausea.com/_files/ugd/5f4e3f_7f882c897da74afd8cd11a7ca596571a.pdf,,,
NuBlend Pty Ltd,Australia,Triabunna,Tasmania,Independencia y Nahuel Ruca - Vivorata - Buenos Aires,https://www.nublend.com.au/index.php/products,,,,,
Huatai Pharma Inc,China,Deyang,Sichuan,"No. 37, Section 6, North Chengdu Avenue, Guanghan City, Deyang, Sichuan Province, P.R. China.",https://www.csfproteins.com.au,,,,,
Comeau,Canada,Melbourne,Victoria,"Suite 503/227 Collins St, Melbourne VIC 3000, Australia",https://www.comeausea.com/facilities,,,,,
Africa Feed Suarl,Senegal,Triabunna,Tasmania,"78 Freestone Point Rd, Triabunna TAS 7190, Australia
",https://ditp.sec.gouv.sn/sites/default/files/docs/Liste%20des%20%C3%A9tablissements%20agr%C3%A9%C3%A9s%20%C3%A0%20l%27exportation%20au%2031%20d%C3%A9cembre%202022%20.pdf,,https://novosana.nl/contact-us;https://novosana.nl/omega-3-science,https://novosana.nl/about-novosana,,
CSF Proteins Pty Ltd,Australia,Deyang,Sichuan,"No. 37, Section 6, North Chengdu Avenue, Guanghan City, Deyang, Sichuan Province, P.R. China.",https://www.csfproteins.com.au,,,,,
