Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
BHP Impex Canada,Canada,Moruya,New South Wales,"3260 Princes Hwy, Moruya NSW 2537, Australia",https://bhpimpex.ca/,https://bhpimpex.ca,,,,
BHP Impex Canada,Canada,Moruya,New South Wales,"3260 Princes Hwy, Moruya NSW 2537, Australia",https://bhpimpex.ca/,https://bhpimpex.ca/,,,,
Australian Fishmeal Company,Australia,Karachi,,"14-B / 16-A, Deh Ibrahim Hyderi, Korangi Creek, Karachi, Pakistan",https://fishmeal.co/,https://fishmeal.co/id/home-bahasa-indonesia,,,,
Australian Fishmeal Company,Australia,Karachi,,"14-B / 16-A, Deh Ibrahim Hyderi, Korangi Creek, Karachi, Pakistan",https://fishmeal.co/,,https://fishmeal.co/es/home-espanol,,,
Australian Fishmeal Company,Australia,Karachi,,"14-B / 16-A, Deh Ibrahim Hyderi, Korangi Creek, Karachi, Pakistan",https://fishmeal.co/,,,https://fishmeal.co/es/2024/11/22/harina-de-pescado-en-la-industria-de-la-acuicultura,,
Australian Fishmeal Company,Australia,Karachi,,"14-B / 16-A, Deh Ibrahim Hyderi, Korangi Creek, Karachi, Pakistan",https://fishmeal.co/,,,https://fishmeal.co/es/home-espanol,,
Australian Fishmeal Company,Australia,Karachi,,"14-B / 16-A, Deh Ibrahim Hyderi, Korangi Creek, Karachi, Pakistan",https://fishmeal.co/,,,https://fishmeal.co/id/2024/11/22/tepung-ikan-dalam-industri-akuakultur,,
Australian Fishmeal Company,Australia,Karachi,,"14-B / 16-A, Deh Ibrahim Hyderi, Korangi Creek, Karachi, Pakistan",https://fishmeal.co/,,,https://fishmeal.co/id/2024/11/22/tepung-ikan-dalam-industri-pupuk,,
Australian Fishmeal Company,Australia,Karachi,,"14-B / 16-A, Deh Ibrahim Hyderi, Korangi Creek, Karachi, Pakistan",https://fishmeal.co/,,,https://fishmeal.co/id/home-bahasa-indonesia,,
Comeau,Canada,Melbourne,Victoria,"Suite 503/227 Collins St, Melbourne VIC 3000, Australia",https://www.comeausea.com/facilities,https://www.comeausea.com/_files/ugd/5f4e3f_cc4a96c975304ae695ed844852eb42a1.pdf,,,,
Comeau,Canada,Melbourne,Victoria,"Suite 503/227 Collins St, Melbourne VIC 3000, Australia",https://www.comeausea.com/facilities,,https://www.comeausea.com/_files/ugd/5f4e3f_7f882c897da74afd8cd11a7ca596571a.pdf,,,
"Novosana(Taicang) Bio Feed Co., Ltd",China,Dakar,CAT3 - Category 3,"MRWV+J5V, Yenne Tode, Senegal",https://novosana.nl/,,https://novosana.nl/contact-us,,,
"Novosana(Taicang) Bio Feed Co., Ltd",China,Dakar,CAT3 - Category 3,"MRWV+J5V, Yenne Tode, Senegal",https://novosana.nl/,,https://novosana.nl/omega-3-science,,,
"Novosana(Taicang) Bio Feed Co., Ltd",China,Dakar,CAT3 - Category 3,"MRWV+J5V, Yenne Tode, Senegal",https://novosana.nl/,,,https://novosana.nl/about-novosana,,
Aker BioMarine Antarctic AS,Norway,Dalian,Liaoning,"No. 188, Dalianwan Street, Ganjingzi District, Dalian City, Liaoning Province, P.R. China.",https://www.akerbiomarine.com/,,https://www.akerbiomarine.com/blog/meet-our-people-the-fisherman,,,
Aker BioMarine Antarctic AS,Norway,Dalian,Liaoning,"No. 188, Dalianwan Street, Ganjingzi District, Dalian City, Liaoning Province, P.R. China.",https://www.akerbiomarine.com/,,https://www.akerbiomarine.com/blog/new-research-krill-oil-can-slow-down-aging-and-help-improve-life-quality,,,
Aker BioMarine Antarctic AS,Norway,Dalian,Liaoning,"No. 188, Dalianwan Street, Ganjingzi District, Dalian City, Liaoning Province, P.R. China.",https://www.akerbiomarine.com/,,https://www.akerbiomarine.com/blog/study-shows-krill-oil-improves-omega-3-deficiency-in-lupus-patients-with-early-signs-of-lessening-disease-activity-in-patients-with-severe-lupus,,,
Aker BioMarine Antarctic AS,Norway,Dalian,Liaoning,"No. 188, Dalianwan Street, Ganjingzi District, Dalian City, Liaoning Province, P.R. China.",https://www.akerbiomarine.com/,,https://www.akerbiomarine.com/innovation,,,
Aker BioMarine Antarctic AS,Norway,Dalian,Liaoning,"No. 188, Dalianwan Street, Ganjingzi District, Dalian City, Liaoning Province, P.R. China.",https://www.akerbiomarine.com/,,https://www.akerbiomarine.com/new-articles,,,
Aker BioMarine Antarctic AS,Norway,Dalian,Liaoning,"No. 188, Dalianwan Street, Ganjingzi District, Dalian City, Liaoning Province, P.R. China.",https://www.akerbiomarine.com/,,https://www.akerbiomarine.com/news/new-study-aker-biomarines-pl-innovation-boosts-omega-3-absorption,,,
Aker BioMarine Antarctic AS,Norway,Dalian,Liaoning,"No. 188, Dalianwan Street, Ganjingzi District, Dalian City, Liaoning Province, P.R. China.",https://www.akerbiomarine.com/,,,https://www.akerbiomarine.com/,,
Aker BioMarine Antarctic AS,Norway,Dalian,Liaoning,"No. 188, Dalianwan Street, Ganjingzi District, Dalian City, Liaoning Province, P.R. China.",https://www.akerbiomarine.com/,,,https://www.akerbiomarine.com/blog/aker-biomarine-renews-its-friend-of-the-sea-fos-sustainability-certification-for-three-more-years,,
