Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
Proteins Australia Pty Ltd,Australia,,,,,,,,,
Mundo Branco S. A.,Argentina,,,,,,,,,
Huatai Pharma Inc,China,,,,,,,,,
Liaoyu Antarctic Krill Technology Development Co. Ltd.,China,,,,,,,,,
Aller Aqua A/S,Denmark,,,,,,,,,
(Quirola),Ecuador,,,,,,,,,
BARACAMAR S.A.,Ecuador,,,,,,,,,
Africa Feed Suarl,Senegal,,,,,,,,,
Calvo Conservas El Salvador SA de CV,El Salvador,,,,,,,,,
IQI BV,United States of America,,,,,,,,,
Brim,Iceland,,,,,,,,,
Industrial Maule Ltda,Chile,,,,,,,,,
"Binzhou City Public Sen Industry And Trade Co., Ltd.",China,,,,,,,,,
"Qingdao Zhenchangshen Commercial And Trade Co., Ltd.",China,,,,,,,,,
Industrial Maule Ltda,Chile,,,,,,,,,
BEL MEAL,Senegal,,,,,,,,,
GOLD FIN INTERNATIONAL L.L.C,Oman,,,,,,,,,
"Rongcheng Rixin Aquatic Products Co., Ltd.",China,,,,,,,,,
Marine Protein Marprot S.A.,Ecuador,,,,,,,,,
"Shandong Hongji Biology Technology Co., Ltd",China,,,,,,,,,
"Shandong Rongfeng Bio-Technology Development Co., Ltd",China,,,,,,,,,
BioMar A/S,Denmark,,,,,,,,,
Rongcheng Blue Ocean Biotech,China,,,,,,,,,
Rongcheng Jinghai Dingqian Xingyang Fish Meal Factory,China,,,,,,,,,
Rongcheng Xingyang Fishmeal Factory,China,,,,,,,,,
Shandong Qilong Group Co. Ltd.,China,,,,,,,,,
Auqi Marine Bio-Tech Co. Ltd.,China,,,,,,,,,
Ísfélag Vestmannaeyja hf,Iceland,,,,,,,,,
"[OLD NAME: FPP ""Socra"" Co., Ltd.] RPZ Sokra LLC",Russia,,,,,,,,,
Corporacion De Proyectos Multiples Mult.I.Proyectos S.A.,Ecuador,,,,,,,,,
"Trident Seafoods Corporation (Sand Point, AK Shore Plant)",United States of America,,,,,,,,,
Kurzeme Fisheries Producers Organization,Latvia,,,,,,,,,
Corporacion De Proyectos Multiples Mult.I.Proyectos S.A.,Ecuador,,,,,,,,,
CRISTOBAL TOMAS GONZALEZ POZO/PINDHAGON,Ecuador,,,,,,,,,
Pesquera Centromar S.A.,Ecuador,,,,,,,,,
Fiordo Austral S.A.,Chile,,,,,,,,,
Syarikat Kilang Serbok Ikan (Asia) Sdn. Bhd.,Malaysia,,,,,,,,,
Icicle Seafoods Corporation Northern Victor (shore plant),United States of America,,,,,,,,,
Icicle Seafoods Corporation Northern Victor (shore plant),United States of America,,,,,,,,,
DELTAGEN ECUADOR S.A.,Ecuador,,,,,,,,,
Aquatic Food Manufacturing Corporation,Philippines,,,,,,,,,
DESPROCAR,Ecuador,,,,,,,,,
Tangawira Sdn. Bhd.,Malaysia,,,,,,,,,
DIBAR S.A.,Ecuador,,,,,,,,,
HARINAS Y CONSERVAS DE PESCADO HARCONPEZ S.A,Ecuador,,,,,,,,,
