Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
Proteins Australia Pty Ltd,Australia,Horsham,Victoria,"18 Carine St, Horsham VIC 3400, Australia",https://approteins.com.au/,,https://approteins.com.au/cdn-cgi/l/email-protection,,,
Huatai Pharma Inc,China,,,,https://friendofthesea.org/company/huatai-pharma-inc/,,https://friendofthesea.org/;https://friendofthesea.org/buy-sell-bid;https://friendofthesea.org/certified-products-and-services;https://friendofthesea.org/company/huatai-pharma-inc;https://friendofthesea.org/expert-help;https://friendofthesea.org/sustainable-restaurant;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-dolphin-whale-watching;https://friendofthesea.org/where-to-find-and-buy-sustainable-products/find-sustainable-restaurants,https://friendofthesea.org/;https://friendofthesea.org/after-sustainable-certification;https://friendofthesea.org/approved-fisheries;https://friendofthesea.org/audits;https://friendofthesea.org/buy-sell-bid;https://friendofthesea.org/certified-products-and-services;https://friendofthesea.org/certified-products-and-services/redlist;https://friendofthesea.org/company/huatai-pharma-inc;https://friendofthesea.org/expert-help;https://friendofthesea.org/faq;https://friendofthesea.org/find-certification-bodies;https://friendofthesea.org/friend-of-the-sea;https://friendofthesea.org/governance;https://friendofthesea.org/how-does-our-certification-work;https://friendofthesea.org/marine-conservation-projects-and-awareness;https://friendofthesea.org/marine-conservation-projects-and-awareness/manta-ray-watching-2;https://friendofthesea.org/marine-conservation-projects-and-awareness/sea-turtle-watching-2;https://friendofthesea.org/marine-conservation-projects-and-awareness/sustainable-scuba-diving;https://friendofthesea.org/marine-conservation-projects-and-awareness/sustainable-snorkeling;https://friendofthesea.org/marine-conservation-projects-and-awareness/whale-shark-watching;https://friendofthesea.org/member-wso;https://friendofthesea.org/news;https://friendofthesea.org/our-team;https://friendofthesea.org/partnership;https://friendofthesea.org/standard-improvement;https://friendofthesea.org/submit-application;https://friendofthesea.org/sustainability-index;https://friendofthesea.org/sustainable-events;https://friendofthesea.org/sustainable-hospitality;https://friendofthesea.org/sustainable-ports;https://friendofthesea.org/sustainable-restaurant;https://friendofthesea.org/sustainable-shop;https://friendofthesea.org/sustainable-standards-and-certifications/plant-based-seafood;https://friendofthesea.org/sustainable-standards-and-certifications/reef-safe-sunscreen;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-aquaculture;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-aquaria-ornamental-fish-trade;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-beach;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-cleaner;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-dolphin-whale-watching;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-fisheries-and-fleets;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-omega-3-oil;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-salt;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-seafood-restaurants-and-retailers;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-shipping-and-cruise-lines;https://friendofthesea.org/where-to-find-and-buy-sustainable-products;https://friendofthesea.org/where-to-find-and-buy-sustainable-products/find-sustainable-restaurants;https://friendofthesea.org/where-to-find-and-buy-sustainable-products/find-us-at-the-supermarket;https://friendofthesea.org/why-friend-of-the-sea;https://friendofthesea.org/why-get-your-company-certified;https://friendofthesea.org/why-sustainable,,
Liaoyu Antarctic Krill Technology Development Co. Ltd.,China,,,,https://friendofthesea.org/liaoyu-antarctic-krill-technology-development-co-ltd/,,https://friendofthesea.org/;https://friendofthesea.org/ar/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/buy-sell-bid;https://friendofthesea.org/certified-products-and-services;https://friendofthesea.org/es/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/fr/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/it/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/pt-pt/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-dolphin-whale-watching;https://friendofthesea.org/where-to-find-and-buy-sustainable-products/find-sustainable-restaurants,https://friendofthesea.org/;https://friendofthesea.org/after-sustainable-certification;https://friendofthesea.org/approved-fisheries;https://friendofthesea.org/ar/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/buy-sell-bid;https://friendofthesea.org/certified-products-and-services;https://friendofthesea.org/certified-products-and-services/redlist;https://friendofthesea.org/es/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/faq;https://friendofthesea.org/find-certification-bodies;https://friendofthesea.org/fr/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/friend-of-the-sea;https://friendofthesea.org/governance;https://friendofthesea.org/how-does-our-certification-work;https://friendofthesea.org/it/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/marine-conservation-projects-and-awareness/manta-ray-watching-2;https://friendofthesea.org/marine-conservation-projects-and-awareness/sea-turtle-watching-2;https://friendofthesea.org/marine-conservation-projects-and-awareness/sustainable-scuba-diving;https://friendofthesea.org/marine-conservation-projects-and-awareness/sustainable-snorkeling;https://friendofthesea.org/marine-conservation-projects-and-awareness/whale-shark-watching;https://friendofthesea.org/news;https://friendofthesea.org/our-team;https://friendofthesea.org/partnership;https://friendofthesea.org/pt-pt/liaoyu-antarctic-krill-technology-development-co-ltd;https://friendofthesea.org/standard-improvement;https://friendofthesea.org/submit-application;https://friendofthesea.org/sustainability-index;https://friendofthesea.org/sustainable-events;https://friendofthesea.org/sustainable-hospitality;https://friendofthesea.org/sustainable-ports;https://friendofthesea.org/sustainable-shop;https://friendofthesea.org/sustainable-standards-and-certifications/plant-based-seafood;https://friendofthesea.org/sustainable-standards-and-certifications/reef-safe-sunscreen;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-aquaculture;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-aquaria-ornamental-fish-trade;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-beach;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-cleaner;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-dolphin-whale-watching;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-fisheries-and-fleets;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-omega-3-oil;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-salt;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-seafood-restaurants-and-retailers;https://friendofthesea.org/sustainable-standards-and-certifications/sustainable-shipping-and-cruise-lines;https://friendofthesea.org/where-to-find-and-buy-sustainable-products;https://friendofthesea.org/where-to-find-and-buy-sustainable-products/find-sustainable-restaurants;https://friendofthesea.org/where-to-find-and-buy-sustainable-products/find-us-at-the-supermarket;https://friendofthesea.org/why-friend-of-the-sea;https://friendofthesea.org/why-get-your-company-certified;https://friendofthesea.org/why-sustainable,,
Aller Aqua A/S,Denmark,Christiansfeld,,"Allervej 130, 6070 Christiansfeld, Denmark",https://www.aller-aqua.com/contact/factories,https://www.aller-aqua.com/about/news;https://www.aller-aqua.com/knowledge-sharing/customer-stories/aller-aqua-and-idh-partner-for-the-commercialization-of-out-grower-tilapia-produc,https://www.aller-aqua.com/about/working-at-aller-aqua;https://www.aller-aqua.com/knowledge-sharing/quality,https://www.aller-aqua.com/knowledge-sharing/customer-stories/aller-aqua-and-idh-partner-for-the-commercialization-of-out-grower-tilapia-produc,,https://www.aller-aqua.com/knowledge-sharing/quality
IQI BV,United States of America,,,,https://www.iqi-petfood.com/,,https://www.iqi-petfood.com/pure-products;https://www.iqi-petfood.com/salmon-meal-as-a-sustainable-and-traceable-pet-food-ingredient,https://www.iqi-petfood.com/product/gos-malto-powder,,
Brim,Iceland,Reykjavík,Reykjavíkurborg,"Norðurgarður 1, 101 Reykjavík, Iceland",https://amerisk-islenska.is/amis-felagatal/,,https://amerisk-islenska.is/amis-umsokn;https://amerisk-islenska.is/amis-umsokn-en,https://amerisk-islenska.is/amis-felagatal;https://amerisk-islenska.is/amis-felagatal-en,,
"Binzhou City Public Sen Industry And Trade Co., Ltd.",China,,,,https://corporate.target.com/getmedia/07f80eea-2009-4943-8d20-f7e4138c1eba/Target-Global-Factory-List.xlsx,,,,,
BEL MEAL,Senegal,Dakar,Région de Dakar,"PGCV+JJF, Rue DD 115, Dakar, Senegal",https://theses.fr/2012MON20095.pdf,,https://theses.fr/2012mon20095.pdf,,,
GOLD FIN INTERNATIONAL L.L.C,Oman,,Al Wusta Governorate,Oman,https://www.unicef.org/oman/media/421/file/CWEI%20Report%20.pdf,,,,,
BioMar A/S,Denmark,Brande,,"Mylius-Erichsensvej 35, 7330 Brande, Denmark",https://foedevarestyrelsen.dk/Media/638430797774270756/GACC%20list%20-%20Denmark%20updated%20on%2020231130.pdf,,,,,
