Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
Proteins Australia Pty Ltd,Australia,Horsham,Victoria,"18 Carine St, Horsham VIC 3400, Australia",https://approteins.com.au/,,,,,
Mundo Branco S. A.,Argentina,Vivoratá,Buenos Aires Province,"88HF+99, Vivoratá, Buenos Aires Province, Argentina",,,,,,
Huatai Pharma Inc,China,,,,https://friendofthesea.org/company/huatai-pharma-inc/,,,,,
Liaoyu Antarctic Krill Technology Development Co. Ltd.,China,,,,https://friendofthesea.org/liaoyu-antarctic-krill-technology-development-co-ltd/,,,,,
Aller Aqua A/S,Denmark,Christiansfeld,,"Allervej 130, 6070 Christiansfeld, Denmark",https://www.aller-aqua.com/contact/factories,,,,,
(Quirola),Ecuador,Guayaquil,Guayas,"R4M3+QR6, Av. Francisco de Orellana, Guayaquil 090512, Ecuador",,,,,,
BARACAMAR S.A.,Ecuador,Guayaquil,Guayas,"Miguel Alcivar Vasquez, S/N, Centro, R4M4+R4V, Guayaquil 090506, Ecuador",,,,,,
Africa Feed Suarl,Senegal,Yenne Tode,Région de Dakar,"MRWV+J5V, Yenne Tode, Senegal",,,,,,
Calvo Conservas El Salvador SA de CV,El Salvador,San Miguel,La Unión Department,"85HP+27R Calle Playitas La Unión, San Miguel, El Salvador",,,,,,
IQI BV,United States of America,,,,https://www.iqi-petfood.com/,,,,,
Brim,Iceland,Reykjavík,Reykjavíkurborg,"Norðurgarður 1, 101 Reykjavík, Iceland",https://amerisk-islenska.is/amis-felagatal/,,,,,
Industrial Maule Ltda,Chile,Coronel,Bío Bío,"AVENIDA #1100 PARQUE INDUSTRIAL CORONEL - Av. Forestal, 4191880 Coronel, Bío Bío, Chile",,,,,,
"Binzhou City Public Sen Industry And Trade Co., Ltd.",China,,,,https://corporate.target.com/getmedia/07f80eea-2009-4943-8d20-f7e4138c1eba/Target-Global-Factory-List.xlsx,,,,,
"Qingdao Zhenchangshen Commercial And Trade Co., Ltd.",China,Qing Dao Shi,Shan Dong Sheng,"9 Nan Jing Lu, 东部商圈 Shi Nan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266073",,,,,,
Industrial Maule Ltda,Chile,Coronel,Bío Bío,"AVENIDA #1100 PARQUE INDUSTRIAL CORONEL - Av. Forestal, 4191880 Coronel, Bío Bío, Chile",,,,,,
BEL MEAL,Senegal,Dakar,Région de Dakar,"PGCV+JJF, Rue DD 115, Dakar, Senegal",https://theses.fr/2012MON20095.pdf,,,,,
GOLD FIN INTERNATIONAL L.L.C,Oman,,Al Wusta Governorate,Oman,https://www.unicef.org/oman/media/421/file/CWEI%20Report%20.pdf,,,,,
"Rongcheng Rixin Aquatic Products Co., Ltd.",China,Wei Hai Shi,Shan Dong Sheng,"379 Feng Huang Hu Lu, 379, Rong Cheng Shi, Wei Hai Shi, Shan Dong Sheng, China, 264308",,,,,,
Marine Protein Marprot S.A.,Ecuador,Guayaquil,Guayas,"Urdesa Norte, Guayaquil 090150, Ecuador",,,,,,
"Shandong Hongji Biology Technology Co., Ltd",China,Ji Nan Shi,Shan Dong Sheng,"26 Nan Yuan Jie, Ping Yin Xian, Ji Nan Shi, Shan Dong Sheng, China, 250407",,,,,,
"Shandong Rongfeng Bio-Technology Development Co., Ltd",China,Zibo,Shandong,"23R5+J3R, Huantai County, Zibo, Shandong, China, 256406",,,,,,
BioMar A/S,Denmark,Brande,,"Mylius-Erichsensvej 35, 7330 Brande, Denmark",https://foedevarestyrelsen.dk/Media/638430797774270756/GACC%20list%20-%20Denmark%20updated%20on%2020231130.pdf,,,,,
Rongcheng Blue Ocean Biotech,China,,,,https://www.iffo.com/visit-shandong-province-stronghold-fishmeal-production-china,,,,,
Rongcheng Jinghai Dingqian Xingyang Fish Meal Factory,China,Wei Hai Shi,Shan Dong Sheng,"20 Huang Hai Nan Lu, Rong Cheng Shi, Wei Hai Shi, Shan Dong Sheng, China, 264309",,,,,,
Rongcheng Xingyang Fishmeal Factory,China,,,,https://www.asc-aqua.org/wp-content/uploads/2022/06/2022_06-CoC-holders-with-scope.xlsx,,,,,
Shandong Qilong Group Co. Ltd.,China,Zibo,Shandong,"Q5H7+238, Zhangdian District, Zibo, Shandong, China, 255411",,,,,,
Auqi Marine Bio-Tech Co. Ltd.,China,Chang Zhou Shi,Jiang Su Sheng,"China, Jiang Su Sheng, Chang Zhou Shi, Wu Jin Qu, 342省道GX9P+86H 邮政编码: 213171",,,,,,
Ísfélag Vestmannaeyja hf,Iceland,Vestmannaeyjabær,Vestmannaeyjabær,"Tangagata, 900 Vestmannaeyjabær, Iceland",https://isfelag.is/,,,,,
"[OLD NAME: FPP ""Socra"" Co., Ltd.] RPZ Sokra LLC",Russia,,,,https://www.chinafeedonline.com.hk/sites/default/files/07_Russia_20220614.xls,,,,,
Corporacion De Proyectos Multiples Mult.I.Proyectos S.A.,Ecuador,Chanduy,Santa Elena,"J72X+3J9, Chanduy, Ecuador",,,,,,
"Trident Seafoods Corporation (Sand Point, AK Shore Plant)",United States of America,Sand Point,Alaska,"229 Main St, Sand Point, AK 99661, USA",https://www.tridentseafoods.com/about-us/our-facilities-and-global-reach,,,,,
Kurzeme Fisheries Producers Organization,Latvia,Rīga,,"Bruņinieku iela 29/31, Centra rajons, Rīga, LV-1001, Latvia",https://wanderlog.com/list/geoCategory/813914/best-live-music-venues-and-concert-halls-in-riga,,,,,
Corporacion De Proyectos Multiples Mult.I.Proyectos S.A.,Ecuador,Chanduy,Santa Elena,"J72X+3J9, Chanduy, Ecuador",,,,,,
CRISTOBAL TOMAS GONZALEZ POZO/PINDHAGON,Ecuador,,Los Ríos,"Vía Guaranda Babahoyo, Ecuador",,,,,,
Pesquera Centromar S.A.,Ecuador,Chanduy,Santa Elena,"J73W+J5V, Chanduy, Ecuador",,,,,,
Fiordo Austral S.A.,Chile,Coronel,Bío Bío,"Unnamed Road, Coronel, Bío Bío, Chile",https://datosretc.mma.gob.cl/lt/datastore/dump/d1682353-3e5f-4100-9a53-f4b9650e2984?bom=True,,,,,
Syarikat Kilang Serbok Ikan (Asia) Sdn. Bhd.,Malaysia,Alor Setar,Kedah,"Kampung Sematang Pinang Kuala Kedah, Kampung Ulu, 06600 Alor Setar, Kedah, Malaysia",https://trungtamwto.vn/file/20474/danh-sach-doanh-nghiep-xuat-nhap-khau-hang-thuc-pham-do-uong-malaysia.pdf,,,,,
Icicle Seafoods Corporation Northern Victor (shore plant),United States of America,Anchorage,Alaska,"Anchorage, AK 99505, USA",https://wanderlog.com/drive/between/58198/58154/anchorage-to-seattle-drive,,,,,
Icicle Seafoods Corporation Northern Victor (shore plant),United States of America,Anchorage,Alaska,"Anchorage, AK 99505, USA",https://wanderlog.com/drive/between/58198/58154/anchorage-to-seattle-drive,,,,,
DELTAGEN ECUADOR S.A.,Ecuador,Quito,Pichincha,"VGRX+888, Quito 170133, Ecuador",,,,,,
Aquatic Food Manufacturing Corporation,Philippines,Zamboanga,Zamboanga Peninsula,"XX44+6MJ, Zamboanga, Zamboanga del Sur, Philippines",,,,,,
DESPROCAR,Ecuador,El Carmen,Manabí,"PGGV+R8F, El Carmen, Ecuador",,,,,,
Tangawira Sdn. Bhd.,Malaysia,Kudat,Sabah,"89050 Kudat, Sabah, Malaysia",https://www.newpages.com.my/v2/en/company/662035/Tangawira_Sdn_Bhd.html,,,,,
DIBAR S.A.,Ecuador,Durán,Guayas,"Km. 3.5 Via Durán Tambo, Sector Ferias, Manzana S, Solares 24-25, Durán 090702, Ecuador",,,,,,
HARINAS Y CONSERVAS DE PESCADO HARCONPEZ S.A,Ecuador,San Pablo,Santa Elena,"V62H+5R, San Pablo, Ecuador",,,,,,
INASA Industrial Aceitera SA,Ecuador,Guayaquil,Guayas,"Km a (a lado de VECONSA S.A.) Ecuador, 224H+45Q, Via Daule, Guayaquil, Ecuador",,,,,,
LUIS ANTONIO POZO ASCENCIO,Ecuador,,,,https://www.produccion.gob.ec/wp-content/uploads/2023/12/PLANTAS-DE-HARINAS-Y-O-ACEITES-PH-21122023.pdf,,,,,
MULTIPRO_YECTO S.A.,Ecuador,Esmeraldas,Esmeraldas,"Av. Sucre, y, Esmeraldas 080102, Ecuador",,,,,,
NAGRO S.A.,Ecuador,Tanicuchi,Cotopaxi,"5CM5+9F4, Tanicuchi, Ecuador",https://fliphtml5.com/wtae/kxon/Catalogo_Nacional_de_Objetos_Geograficos/,,,,,
NU MEGA INGREDIENTS ECUADOR NMI S.A.,Ecuador,Quito,Pichincha,"Avenida Juan Molineros E9-255 y, Quito 170513, Ecuador",,,,,,
NUTRIFISHING S.A,Ecuador,Guayaquil,Guayas,"Parque Empresarial ""Nexus, Autop. Narcisa de Jesús 1, Guayaquil 090703, Ecuador",,,,,,
P D-PESCA,Ecuador,Guayaquil,Guayas,"Eloy Alfaro 1608, Guayaquil 090308, Ecuador",,,,,,
Southwest Asian Canning Corporation (SACC),Philippines,Zamboanga,Zamboanga Peninsula,"Purok 1, Zamboanga, 7000 Zamboanga del Sur, Philippines",https://customs.gov.ph/wp-content/uploads/2023/03/POM-JAO20-01-NTFE-ARRIVAL-MARCH-19-21-2021.pdf,,,,,
PEANDRES S.A,Ecuador,Guayaquil,Guayas,"R49G+P98, Guayaquil 090313, Ecuador",,,,,,
PESQUERA CENTRO MAR,Ecuador,Chanduy,Santa Elena,"J73W+J5V, Chanduy, Ecuador",,,,,,
PINDHAGON S.A.,Ecuador,Monteverde,Santa Elena,"X73P+653, Monteverde, Ecuador",,,,,,
Gold Star Seafoods,Philippines,Zamboanga,Zamboanga Peninsula,"XWGM+5QV, Zamboanga, Zamboanga Sibugay, Philippines",https://zaubee.com/biz/gold-star-seafoods-w47b1cy3,,,,,
AR Global Fishmeal,Indonesia,,Jawa Timur,"Jl. Raya Tambakboyo No.60, Glondong, Glondonggede, Kec. Tambakboyo, Kabupaten Tuban, Jawa Timur 62352, Indonesia",,,,,,
PRODUCTORA MARVIVO S.A PROMARVI,Ecuador,El Real,Santa Elena,"El Real, Ecuador","https://www.oceanexpert.net/advanceSearch?action=browse&instCountry=E&filterType=,,,experts,experts,,,,,,,,,,,,,,,&page=8&filterCountry=Ecuador",,,,,
Biji Sesawi,Indonesia,,Papua,"BTN CERIA JALUR 1 Unnamed Road, Hinekombe, Kec. Sentani, Kabupaten Jayapura, Papua 99352, Indonesia",,,,,,
PROVEEDORES DE LA COSTA PROVECOSTA CIA. LTDA.,Ecuador,Santo Domingo,Santo Domingo de los Tsáchilas,"Via quevedo km7 entrada a Puerto limón km 1, Santo Domingo, Ecuador",https://cursos.yura.website/wp-content/uploads/2023/01/Exportaciones-diciembre-2022.xlsx,,,,,
"Bombana Raya, CV",Indonesia,,South East Sulawesi,"Bombana Regency, South East Sulawesi, Indonesia",https://www.nature.org/content/dam/tnc/nature/en/documents/SnapperSupplyLines.pdf,,,,,
CV SUMBER REJEKI MAKMUR SEJAHTERA,Indonesia,,Jawa Timur,"H82Q+G96, Dusun Stoplas, Kedungrejo, Kec. Muncar, Kabupaten Banyuwangi, Jawa Timur 68472, Indonesia",,,,,,
Comapeche Farine S.A.,Mauritania,Nouakchott,Nouakchott-Ouest,"4X3G+5CX, Nouakchott, Mauritania",,,,,,
Janatha Inter Fish Protein,Mauritania,Nouakchott,Nouakchott Sud,"32FR+CP6 Port de pêche à Nouakchott 471, Nouakchott, Mauritania",,,,,,
REMO ROHN S.A.,Ecuador,Quito,Pichincha,"C. E9, Quito 170144, Ecuador",,,,,,
ROSMEY S.A.,Ecuador,,Pichincha,"Recinto la Celica - Calle Loja Pedro Vicente Maldonado, 170850, Ecuador",https://www.banco-solidario.com/sites/default/files/2020-02/Base-de-Agentes-Pago-%C3%81gil-2020-Enero.xlsx,,,,,
SEGUNDO FELIPE ASCENCIO RIVERA,Ecuador,,,,https://www.marin-trust.com/sites/marintrust/files/2022-05/MOU%20ECUAFEED.pdf,,,,,
"INDAH KEMILAU ALAM NUSANTARA, CV",Indonesia,,Jakarta,"RX49+F2H, RT.7/RW.5, Ujung Menteng, Cakung, East Jakarta City, Jakarta 13960, Indonesia",,,,,,
Industri Tepung,Indonesia,,Daerah Khusus Ibukota Jakarta,"L'Avenue office tower floor 20c Jl. Raya pasar minggu kav.16 Jakarta selatan, RT.1/RW.7, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780, Indonesia",https://www.semuabis.com/pt-raja-tepung-indonesia_2e-021-80667171,,,,,
Mauritania Business SARL,Mauritania,Nouadhibou,,"20.906096, -17.043138, Nouadhibou, Mauritania",https://www.africabizinfo.com/fr-MR/p%C3%A2tisserie-pleine-lune,,,,,
SIQUALITY S.A.,Ecuador,Guayaquil,Guayas,"V425+JVQ, Guayaquil 090513, Ecuador",,,,,,
JXYG,Gambia,Banjul,Kerewan,"Farafenni, Banjul, The Gambia",https://senegal.mid.ru/upload/iblock/729/729ec210e61c6d946e6916aa006e890b.pdf,,,,,
STOLLER ECUADOR S.A.,Ecuador,Quito,Pichincha,"Avenue Alonso de Angulo, Quito 170111, Ecuador",,,,,,
